student_id,subject_id,date,status
1001,CS101,2026-03-01,Present
1001,CS102,2026-03-01,Present
1001,EC201,2026-03-01,Present
1001,ME301,2026-03-01,Present
1001,CE401,2026-03-01,Present
1001,EE501,2026-03-01,Present
1002,CS101,2026-03-01,Present
1002,CS102,2026-03-01,Present
1002,EC201,2026-03-01,Present
1002,ME301,2026-03-01,Present
1002,CE401,2026-03-01,Present
1002,EE501,2026-03-01,Present
1003,CS101,2026-03-01,Present
1003,CS102,2026-03-01,Present
1003,EC201,2026-03-01,Present
1003,ME301,2026-03-01,Present
1003,CE401,2026-03-01,Present
1003,EE501,2026-03-01,Present
1004,CS101,2026-03-01,Present
1004,CS102,2026-03-01,Present
1004,EC201,2026-03-01,Present
1004,ME301,2026-03-01,Present
1004,CE401,2026-03-01,Present
1004,EE501,2026-03-01,Absent
1005,CS101,2026-03-01,Present
1005,CS102,2026-03-01,Present
1005,EC201,2026-03-01,Present
1005,ME301,2026-03-01,Present
1005,CE401,2026-03-01,Present
1005,EE501,2026-03-01,Present
1006,CS101,2026-03-01,Present
1006,CS102,2026-03-01,Absent
1006,EC201,2026-03-01,Absent
1006,ME301,2026-03-01,Present
1006,CE401,2026-03-01,Present
1006,EE501,2026-03-01,Present
1007,CS101,2026-03-01,Present
1007,CS102,2026-03-01,Present
1007,EC201,2026-03-01,Present
1007,ME301,2026-03-01,Present
1007,CE401,2026-03-01,Present
1007,EE501,2026-03-01,Present
1008,CS101,2026-03-01,Present
1008,CS102,2026-03-01,Present
1008,EC201,2026-03-01,Present
1008,ME301,2026-03-01,Present
1008,CE401,2026-03-01,Present
1008,EE501,2026-03-01,Present
1009,CS101,2026-03-01,Present
1009,CS102,2026-03-01,Present
1009,EC201,2026-03-01,Present
1009,ME301,2026-03-01,Present
1009,CE401,2026-03-01,Present
1009,EE501,2026-03-01,Present
1010,CS101,2026-03-01,Present
1010,CS102,2026-03-01,Present
1010,EC201,2026-03-01,Present
1010,ME301,2026-03-01,Present
1010,CE401,2026-03-01,Present
1010,EE501,2026-03-01,Absent
1011,CS101,2026-03-01,Present
1011,CS102,2026-03-01,Present
1011,EC201,2026-03-01,Absent
1011,ME301,2026-03-01,Present
1011,CE401,2026-03-01,Absent
1011,EE501,2026-03-01,Present
1012,CS101,2026-03-01,Present
1012,CS102,2026-03-01,Absent
1012,EC201,2026-03-01,Present
1012,ME301,2026-03-01,Present
1012,CE401,2026-03-01,Present
1012,EE501,2026-03-01,Present
1013,CS101,2026-03-01,Present
1013,CS102,2026-03-01,Present
1013,EC201,2026-03-01,Present
1013,ME301,2026-03-01,Present
1013,CE401,2026-03-01,Absent
1013,EE501,2026-03-01,Present
1014,CS101,2026-03-01,Absent
1014,CS102,2026-03-01,Present
1014,EC201,2026-03-01,Present
1014,ME301,2026-03-01,Present
1014,CE401,2026-03-01,Present
1014,EE501,2026-03-01,Present
1015,CS101,2026-03-01,Present
1015,CS102,2026-03-01,Present
1015,EC201,2026-03-01,Present
1015,ME301,2026-03-01,Present
1015,CE401,2026-03-01,Absent
1015,EE501,2026-03-01,Present
1016,CS101,2026-03-01,Present
1016,CS102,2026-03-01,Present
1016,EC201,2026-03-01,Present
1016,ME301,2026-03-01,Present
1016,CE401,2026-03-01,Present
1016,EE501,2026-03-01,Present
1017,CS101,2026-03-01,Present
1017,CS102,2026-03-01,Present
1017,EC201,2026-03-01,Present
1017,ME301,2026-03-01,Present
1017,CE401,2026-03-01,Present
1017,EE501,2026-03-01,Present
1018,CS101,2026-03-01,Present
1018,CS102,2026-03-01,Present
1018,EC201,2026-03-01,Present
1018,ME301,2026-03-01,Absent
1018,CE401,2026-03-01,Present
1018,EE501,2026-03-01,Absent
1019,CS101,2026-03-01,Absent
1019,CS102,2026-03-01,Present
1019,EC201,2026-03-01,Absent
1019,ME301,2026-03-01,Present
1019,CE401,2026-03-01,Present
1019,EE501,2026-03-01,Present
1020,CS101,2026-03-01,Present
1020,CS102,2026-03-01,Present
1020,EC201,2026-03-01,Present
1020,ME301,2026-03-01,Present
1020,CE401,2026-03-01,Present
1020,EE501,2026-03-01,Present
1021,CS101,2026-03-01,Present
1021,CS102,2026-03-01,Present
1021,EC201,2026-03-01,Present
1021,ME301,2026-03-01,Present
1021,CE401,2026-03-01,Present
1021,EE501,2026-03-01,Present
1022,CS101,2026-03-01,Present
1022,CS102,2026-03-01,Present
1022,EC201,2026-03-01,Present
1022,ME301,2026-03-01,Absent
1022,CE401,2026-03-01,Present
1022,EE501,2026-03-01,Absent
1023,CS101,2026-03-01,Present
1023,CS102,2026-03-01,Present
1023,EC201,2026-03-01,Present
1023,ME301,2026-03-01,Present
1023,CE401,2026-03-01,Present
1023,EE501,2026-03-01,Present
1024,CS101,2026-03-01,Present
1024,CS102,2026-03-01,Present
1024,EC201,2026-03-01,Present
1024,ME301,2026-03-01,Present
1024,CE401,2026-03-01,Present
1024,EE501,2026-03-01,Present
1025,CS101,2026-03-01,Present
1025,CS102,2026-03-01,Present
1025,EC201,2026-03-01,Present
1025,ME301,2026-03-01,Present
1025,CE401,2026-03-01,Present
1025,EE501,2026-03-01,Present
1026,CS101,2026-03-01,Present
1026,CS102,2026-03-01,Present
1026,EC201,2026-03-01,Present
1026,ME301,2026-03-01,Present
1026,CE401,2026-03-01,Present
1026,EE501,2026-03-01,Present
1027,CS101,2026-03-01,Present
1027,CS102,2026-03-01,Present
1027,EC201,2026-03-01,Present
1027,ME301,2026-03-01,Present
1027,CE401,2026-03-01,Present
1027,EE501,2026-03-01,Present
1028,CS101,2026-03-01,Present
1028,CS102,2026-03-01,Present
1028,EC201,2026-03-01,Present
1028,ME301,2026-03-01,Present
1028,CE401,2026-03-01,Present
1028,EE501,2026-03-01,Present
1029,CS101,2026-03-01,Present
1029,CS102,2026-03-01,Present
1029,EC201,2026-03-01,Absent
1029,ME301,2026-03-01,Present
1029,CE401,2026-03-01,Present
1029,EE501,2026-03-01,Present
1030,CS101,2026-03-01,Present
1030,CS102,2026-03-01,Present
1030,EC201,2026-03-01,Present
1030,ME301,2026-03-01,Present
1030,CE401,2026-03-01,Present
1030,EE501,2026-03-01,Present
1031,CS101,2026-03-01,Present
1031,CS102,2026-03-01,Present
1031,EC201,2026-03-01,Present
1031,ME301,2026-03-01,Present
1031,CE401,2026-03-01,Present
1031,EE501,2026-03-01,Present
1032,CS101,2026-03-01,Present
1032,CS102,2026-03-01,Present
1032,EC201,2026-03-01,Present
1032,ME301,2026-03-01,Absent
1032,CE401,2026-03-01,Present
1032,EE501,2026-03-01,Present
1033,CS101,2026-03-01,Present
1033,CS102,2026-03-01,Present
1033,EC201,2026-03-01,Present
1033,ME301,2026-03-01,Present
1033,CE401,2026-03-01,Present
1033,EE501,2026-03-01,Present
1034,CS101,2026-03-01,Present
1034,CS102,2026-03-01,Present
1034,EC201,2026-03-01,Present
1034,ME301,2026-03-01,Present
1034,CE401,2026-03-01,Absent
1034,EE501,2026-03-01,Present
1035,CS101,2026-03-01,Present
1035,CS102,2026-03-01,Present
1035,EC201,2026-03-01,Present
1035,ME301,2026-03-01,Present
1035,CE401,2026-03-01,Present
1035,EE501,2026-03-01,Present
1036,CS101,2026-03-01,Present
1036,CS102,2026-03-01,Present
1036,EC201,2026-03-01,Present
1036,ME301,2026-03-01,Present
1036,CE401,2026-03-01,Present
1036,EE501,2026-03-01,Present
1037,CS101,2026-03-01,Present
1037,CS102,2026-03-01,Present
1037,EC201,2026-03-01,Present
1037,ME301,2026-03-01,Absent
1037,CE401,2026-03-01,Present
1037,EE501,2026-03-01,Present
1038,CS101,2026-03-01,Present
1038,CS102,2026-03-01,Present
1038,EC201,2026-03-01,Present
1038,ME301,2026-03-01,Present
1038,CE401,2026-03-01,Present
1038,EE501,2026-03-01,Present
1039,CS101,2026-03-01,Present
1039,CS102,2026-03-01,Present
1039,EC201,2026-03-01,Present
1039,ME301,2026-03-01,Present
1039,CE401,2026-03-01,Present
1039,EE501,2026-03-01,Absent
1040,CS101,2026-03-01,Present
1040,CS102,2026-03-01,Present
1040,EC201,2026-03-01,Present
1040,ME301,2026-03-01,Present
1040,CE401,2026-03-01,Present
1040,EE501,2026-03-01,Present
1041,CS101,2026-03-01,Present
1041,CS102,2026-03-01,Absent
1041,EC201,2026-03-01,Present
1041,ME301,2026-03-01,Present
1041,CE401,2026-03-01,Present
1041,EE501,2026-03-01,Present
1042,CS101,2026-03-01,Present
1042,CS102,2026-03-01,Present
1042,EC201,2026-03-01,Present
1042,ME301,2026-03-01,Present
1042,CE401,2026-03-01,Present
1042,EE501,2026-03-01,Absent
1043,CS101,2026-03-01,Present
1043,CS102,2026-03-01,Present
1043,EC201,2026-03-01,Present
1043,ME301,2026-03-01,Present
1043,CE401,2026-03-01,Present
1043,EE501,2026-03-01,Present
1044,CS101,2026-03-01,Present
1044,CS102,2026-03-01,Present
1044,EC201,2026-03-01,Absent
1044,ME301,2026-03-01,Present
1044,CE401,2026-03-01,Present
1044,EE501,2026-03-01,Present
1045,CS101,2026-03-01,Present
1045,CS102,2026-03-01,Present
1045,EC201,2026-03-01,Present
1045,ME301,2026-03-01,Present
1045,CE401,2026-03-01,Present
1045,EE501,2026-03-01,Present
1046,CS101,2026-03-01,Present
1046,CS102,2026-03-01,Present
1046,EC201,2026-03-01,Present
1046,ME301,2026-03-01,Present
1046,CE401,2026-03-01,Present
1046,EE501,2026-03-01,Present
1047,CS101,2026-03-01,Present
1047,CS102,2026-03-01,Present
1047,EC201,2026-03-01,Absent
1047,ME301,2026-03-01,Present
1047,CE401,2026-03-01,Absent
1047,EE501,2026-03-01,Present
1048,CS101,2026-03-01,Present
1048,CS102,2026-03-01,Present
1048,EC201,2026-03-01,Present
1048,ME301,2026-03-01,Present
1048,CE401,2026-03-01,Present
1048,EE501,2026-03-01,Present
1049,CS101,2026-03-01,Present
1049,CS102,2026-03-01,Present
1049,EC201,2026-03-01,Present
1049,ME301,2026-03-01,Present
1049,CE401,2026-03-01,Absent
1049,EE501,2026-03-01,Present
1050,CS101,2026-03-01,Present
1050,CS102,2026-03-01,Present
1050,EC201,2026-03-01,Present
1050,ME301,2026-03-01,Present
1050,CE401,2026-03-01,Present
1050,EE501,2026-03-01,Present
1051,CS101,2026-03-01,Present
1051,CS102,2026-03-01,Present
1051,EC201,2026-03-01,Present
1051,ME301,2026-03-01,Present
1051,CE401,2026-03-01,Present
1051,EE501,2026-03-01,Present
1052,CS101,2026-03-01,Present
1052,CS102,2026-03-01,Present
1052,EC201,2026-03-01,Present
