student_id,attendance_percentage,eligible
1001,93.88888888888889,True
1002,92.22222222222223,True
1003,92.22222222222223,True
1004,88.88888888888889,True
1005,88.33333333333333,True
1006,91.66666666666666,True
1007,92.77777777777779,True
1008,90.55555555555556,True
1009,92.22222222222223,True
1010,92.77777777777779,True
1011,88.88888888888889,True
1012,91.66666666666666,True
1013,90.0,True
1014,88.33333333333333,True
1015,85.0,True
1016,93.88888888888889,True
1017,93.33333333333333,True
1018,89.44444444444444,True
1019,86.66666666666667,True
1020,90.0,True
1021,88.88888888888889,True
1022,85.0,True
1023,90.55555555555556,True
1024,85.0,True
1025,90.55555555555556,True
1026,92.22222222222223,True
1027,90.0,True
1028,93.33333333333333,True
1029,89.44444444444444,True
1030,90.0,True
1031,90.55555555555556,True
1032,87.22222222222223,True
1033,92.22222222222223,True
1034,92.77777777777779,True
1035,90.0,True
1036,91.11111111111111,True
1037,90.55555555555556,True
1038,89.44444444444444,True
1039,90.0,True
1040,90.0,True
1041,92.22222222222223,True
1042,93.88888888888889,True
1043,93.33333333333333,True
1044,90.0,True
1045,95.0,True
1046,94.44444444444444,True
1047,87.77777777777777,True
1048,90.0,True
1049,90.55555555555556,True
1050,88.88888888888889,True
1051,87.22222222222223,True
1052,90.55555555555556,True
1053,91.11111111111111,True
1054,92.77777777777779,True
1055,92.77777777777779,True
1056,88.33333333333333,True
1057,87.77777777777777,True
1058,88.33333333333333,True
1059,92.22222222222223,True
1060,91.66666666666666,True
1061,89.44444444444444,True
1062,87.77777777777777,True
1063,90.55555555555556,True
1064,92.77777777777779,True
1065,89.44444444444444,True
1066,90.0,True
1067,90.55555555555556,True
1068,90.0,True
1069,91.11111111111111,True
1070,88.33333333333333,True
1071,92.77777777777779,True
1072,95.0,True
1073,91.11111111111111,True
1074,87.77777777777777,True
1075,96.11111111111111,True
1076,92.22222222222223,True
1077,90.0,True
1078,88.33333333333333,True
1079,92.22222222222223,True
1080,90.0,True
1081,91.66666666666666,True
1082,88.88888888888889,True
1083,90.55555555555556,True
1084,91.11111111111111,True
1085,92.22222222222223,True
1086,90.0,True
1087,92.77777777777779,True
1088,89.44444444444444,True
1089,88.88888888888889,True
1090,92.77777777777779,True
1091,93.88888888888889,True
1092,88.88888888888889,True
1093,89.44444444444444,True
1094,91.66666666666666,True
1095,92.22222222222223,True
1096,92.77777777777779,True
1097,91.66666666666666,True
1098,87.77777777777777,True
1099,87.77777777777777,True
1100,91.11111111111111,True
1101,90.55555555555556,True
1102,88.33333333333333,True
1103,89.44444444444444,True
1104,92.77777777777779,True
1105,90.0,True
1106,91.11111111111111,True
1107,88.33333333333333,True
1108,87.22222222222223,True
1109,91.66666666666666,True
1110,93.88888888888889,True
1111,90.0,True
1112,86.66666666666667,True
1113,87.77777777777777,True
1114,92.77777777777779,True
1115,94.44444444444444,True
1116,88.88888888888889,True
1117,86.66666666666667,True
1118,88.88888888888889,True
1119,90.0,True
1120,91.11111111111111,True
1121,91.66666666666666,True
1122,95.0,True
1123,88.33333333333333,True
1124,90.0,True
1125,92.22222222222223,True
1126,93.33333333333333,True
1127,86.66666666666667,True
1128,95.55555555555556,True
1129,88.88888888888889,True
1130,90.0,True
1131,93.88888888888889,True
1132,86.66666666666667,True
1133,90.0,True
1134,87.77777777777777,True
1135,85.55555555555556,True
1136,88.33333333333333,True
1137,90.0,True
1138,84.44444444444444,True
1139,88.88888888888889,True
1140,91.11111111111111,True
